=== HSK1 ===
爱|ài|yêu
倾向|qīngxiàng|nghiêng về phía (ý kiến)
侵略|qīnlüè|xâm lược
侵犯|qīnfàn|xâm phạm, can thiệp
企图|qǐtú|mưu đồ
亲热|qīnrè|thân mật
亲密|qīnmì|thân thiết
乞丐|qǐgài|ăn mày
丘陵|qiūlíng|đồi núi
饶恕|ráoshù|tha thứ
让步|ràngbù|nhượng bộ, nhường
认定|rèndìng|nhận định, cho rằng
认可|rènkě|công nhận
融洽|róngqià|hòa hợp, hòa thuận
融化|rónghuà|tan chảy
荣誉|róngyù|vinh dự, vẻ vang, niềm vinh dự
荣幸|róngxìng|vinh hạnh
若干|ruògān|một vài
热门|rèmén|sốt, cơn sốt (hiện tượng, chủ đề)
热泪盈眶|rèlèiyíngkuàng|nước mắt lưng tròng
溶解|róngjiě|hòa tan
柔和|róuhé|dịu dàng
染|rǎn|nhiễm
日益|rìyì|ngày càng
日新月异|rìxīnyuèyì|biến chuyển từng ngày, mỗi ngày một khác
揉|róu|nhào, nặn
扰乱|rǎoluàn|quấy nhiễu, hỗn loạn
惹祸|rěhuò|rước họa,gây tai họa
忍耐|rěnnài|nhẫn nại
忍受|rěnshòu|nhẫn nhịn
弱点|ruòdiǎn|điểm yếu
容貌|róngmào|dung mạo
容纳|róngnà|chứa
容忍|róngrěn|tha thứ
容器|róngqì|thùng chứa
嚷|rǎng|kêu, gào
儒家|rújiā|Nho gia
任重道远|rènzhòngdàoyuǎn|gánh nặng đường xa
任意|rènyì|tự ý
任性|rènxìng|tùy hứng
任命|rènmìng|bổ nhiệm
仍旧|réngjiù|như xưa, như cũ
仁慈|réncí|nhân từ
人间|rénjiān|nhân gian
人道|réndào|nhân đạo
人质|rénzhì|con tin
人格|réngé|nhân cách
人性|rénxìng|nhân tính
人工|réngōng|nhân tạo
人家|rénjiā|người ta
人士|rénshì|nhân sĩ
人为|rénwéi|do con người
骚扰|sāorǎo|quấy rối
首饰|shǒushì|trang sức
首要|shǒuyào|hàng đầu, quan trọng nhất
闪烁|shǎnshuò|nhấp nháy, lấp lánh
释放|shìfàng|phóng thích
逝世|shìshì|tạ thế
适宜|shìyí|thích hợp
试验|shìyàn|thí nghiệm
试图|shìtú|tính toán, thử, định
识别|shíbié|phân biệt
设置|shèzhì|lắp đặt
设立|shèlì|lập, thiết lập (tổ
设想|shèxiǎng|tưởng tượng
视频|shìpín|đoạn clip
视野|shìyě|tầm nhìn
视线|shìxiàn|tầm mắt
视力|shìlì|thị lực
衰退|shuāituì|thoái hóa (chức năng)
衰老|shuāilǎo|già nua, lão hóa
舒畅|shūchàng|khoan khoái, dễ chịu
舌头|shétóu|lưỡi
胜负|shèngfù|thắng thua
耍|shuǎ|chơi bời
绅士|shēnshì|quí ông
筛选|shāixuǎn|sàng lọc, chọn lọc
竖|shù|thẳng đứng
私自|sīzì|một mình lén lút
神经|shénjīng|thần kinh
神气|shénqì|thần sắc, thần khí
神态|shéntài|thần thái
神奇|shénqí|thần kỳ
神圣|shénshèng|thần thánh
神仙|shénxiān|thần tiên
社区|shèqū|cộng đồng
示范|shìfàn|làm mẫu
示意|shìyì|tỏ ý, ra hiệu
示威|shìwēi|thị uy
石油|shíyóu|dầu mỏ
瞬间|shùnjiān|trong nháy mắt
省会|shěnghuì|thủ phủ
盛行|shèngxíng|thịnh hành
盛情|shèngqíng|thịnh tình, hậu hĩnh
盛开|shèngkāi|nở rộ (hoa)
盛产|shèngchǎn|sản xuất nhiều
疏远|shūyuǎn|xa lạ
疏忽|shūhū|sơ suất
申报|shēnbào|trình báo
生锈|shēngxiù|rỉ sét
生育|shēngyù|sinh nở, sinh đẻ
生肖|shēngxiào|con giáp
生疏|shēngshū|mới lạ
生理|shēnglǐ|sinh lý
生物|shēngwù|sinh vật
生机|shēngjī|sức sống
生效|shēngxiào|có hiệu lực
生态|shēngtài|sinh thái
生存|shēngcún|sinh tồn
率领|shuàilǐng|dẫn đầu
牲畜|shēngchù|gia súc
爽快|shuǎngkuài|sảng khoái, dễ chịu
渗透|shèntòu|thẩm thấu
深沉|shēnchén|trầm (giọng nói), thầm lặng
深情厚谊|shēnqínghòuyì|nghĩa tình sâu đậm
深奥|shēnào|cao siêu
涮火锅|shuànhuǒguō|lẩu nhúng
涉及|shèjí|đề cập
水龙头|shuǐlóngtóu|vòi nước
水泥|shuǐní|bùn đất
水利|shuǐlì|thủy lợi
死亡|sǐwáng|chết, tử vong
梢|shāo|ngọn
树立|shùlì|xây dựng (gương sáng, hình tượng đẹp)
束缚|shùfù|trói buộc, buộc
束|shù|bó lại
是非|shìfēi|thị phi
时而|shíér|đôi khi
时机|shíjī|thời cơ
时常|shícháng|thường
时光|shíguāng|thời khắc
时事|shíshì|thời sự
施展|shīzhǎn|thể hiện (tài năng)
施加|shījiā|gây, làm (áp lực, ảnh hưởng)
斯文|sīwén|nho nhã, nhã nhặn
数额|shùé|hạn mức
散文|sǎnwén|tản văn
散布|sànbù|phát tán, lan truyền (tin đồn)
散发|sànfā|tỏa ra (mùi, hương)
收音机|shōuyīnjī|đài
收藏|shōucáng|sưu tầm
收缩|shōusuō|co lại
收益|shōuyì|hưởng lợi
擅长|shàncháng|sở trường
擅自|shànzì|tự ý, tùy tiện
撒谎|sāhuǎng|nói dối
摄氏度|shèshìdù|độ C
授予|shòuyǔ|trao tặng
捎|shāo|mang hộ, mang giùm
拾|shí|nhặt, mót
手艺|shǒuyì|tay nghề, kĩ thuật
手法|shǒufǎ|thủ pháp
手势|shǒushì|cử chỉ
慎重|shènzhòng|thận trọng
思维|sīwéi|tư duy
思索|sīsuǒ|suy nghĩ, nghĩ ngợi
思念|sīniàn|nhớ nhung
师范|shīfàn|sư phạm
山脉|shānmài|dãy núi
尸体|shītǐ|thi thể
尚且|shàngqiě|kể cả
审美|shěnměi|thẩm mỹ
审理|shěnlǐ|thẩm lý (vụ án)
审查|shěnchá|thẩm tra
审判|shěnpàn|thẩm phán
实质|shízhì|thực chất
实行|shíxíng|thực thi
实施|shíshī|thi hành (luật, kế hoạch, cấm vận)
实惠|shíhuì|ưu đãi
实力|shílì|thực lực
实事求是|shíshìqiúshì|tinh thần cầu thị
守护|shǒuhù|bảo vệ
嫂子|sǎozi|chị dâu
奢侈|shēchǐ|xa hoa
失踪|shīzōng|mất dấu, mất tích
失误|shīwù|lỗi lầm, sai lầm
失事|shīshì|sự số (máy bay, thuyền), gặp nạn
声誉|shēngyù|danh tiếng
声明|shēngmíng|tuyên bố
声势|shēngshì|thanh thế
啥|shá|cái gì
商标|shāngbiāo|nhãn hiệu
哨|shào|sáo, đồn, trạm gác
呻吟|shēnyín|rên rỉ
司法|sīfǎ|tư pháp
司令|sīlìng|tư lệnh
受罪|shòuzuì|chịu tội
双胞胎|shuāngbāotāi|sinh đôi
十足|shízú|đầy đủ
势必|shìbì|tất phải, buộc phải
势力|shìlì|thế lực
刹车|shāchē|phanh xe
使命|shǐmìng|sứ mệnh
伤脑筋|shāngnǎojīn|hại não, đau đầu
事项|shìxiàng|hạng mục công việc
事迹|shìjì|câu chuyện lịch sử
事故|shìgù|tai nạn, sự cố
事态|shìtài|tình hình
事务|shìwù|công việc, sự vụ
事件|shìjiàn|sự việc
事业|shìyè|sự nghiệp
书面|shūmiàn|văn bản
书记|shūjì|bí thư
书籍|shūjí|sách
书法|shūfǎ|thư pháp
丧失|sàngshī|mất đi, mất mát
世代|shìdài|thế hệ
上进|shàngjìn|tiến bộ
上级|shàngjí|cấp trên
上瘾|shàngyǐn|nghiện
上游|shàngyóu|thượng du
上任|shàngrèn|nhậm chức
饲养|sìyǎng|nuôi
隧道|suìdào|đường hầm
随意|suíyì|tùy ý
随即|suíjí|ngay lập tức
诉讼|sùsòng|tố tụng, kiện tụng
苏醒|sūxǐng|tỉnh lại
艘|sōu|chiếc, con (tàu thuyền)
肆无忌惮|sìwújìdàn|không kiêng nể
耸|sǒng|đứng thẳng
索性|suǒxìng|dứt khoát
索取|suǒqǔ|đòi lại, đòi
素食|sùshí|thực phẩm chay
素质|sùzhì|tố chất
算数|suànshù|giữ lời hứa
损坏|sǔnhuài|tổn thất
岁月|suìyuè|tuổi tác, năm thắng
寺庙|sìmiào|đền chùa
塑造|sùzào|miêu tả, đắp nặn, xây dựng
四肢|sìzhī|tứ chi
俗话|súhuà|tục ngữ
题材|tícái|đề tài
陶醉|táozuì|ngất ngây
陶瓷|táocí|gốm sứ
铜|tóng|đồng
通货膨胀|tōnghuòpéngzhàng|lạm phát
通讯|tōngxùn|thông tấn
通缉|tōngjī|truy nã
通用|tōngyòng|thông dụng
通俗|tōngsú|thông thường
途径|tújìng|con đường, cách thức
透露|tòulù|tiết lộ
踏实|tāshí|thiết thực, bình yên
跳跃|tiàoyuè|nhảy vọt
贪污|tānwū|tham ô
贪婪|tānlán|tham lam
调解|tiáojiě|hòa giải
调节|tiáojié|điều chỉnh
调料|tiáoliào|gia vị
调和|tiáohé|hòa giải
调剂|tiáojì|điều tiết
讨好|tǎohǎo|nịnh bợ
舔|tiǎn|liếm
脱离|tuōlí|tách rời
统计|tǒngjì|thống kê
统统|tǒngtǒng|tất cả
统筹兼顾|tǒngchóujiāngù|tính toán mọi bề
统治|tǒngzhì|thống trị
童话|tónghuà|cổ tích
突破|tūpò|đột phá
秃|tū|trọc, trụi
瘫痪|tānhuàn|bại liệt, liệt
田野|tiányě|đồng ruộng
田径|tiánjìng|điền kinh
特长|tècháng|sở trường
特意|tèyì|đặc biệt làm riêng
特定|tèdìng|được chỉ định
滔滔不绝|tāotāobùjué|thao thao bất tuyệt
淘汰|táotài|đào thải, loại
涂抹|túmǒ|bôi, quét, thoa
泰斗|tàidǒu|Thái Đẩu (núi Thái và sao Bắc đẩu), bậc thánh nhân
椭圆|tuǒyuán|hình bầu dục
条约|tiáoyuē|hiệp ước
条理|tiáolǐ|trật tự, thứ tự rõ ràng
条款|tiáokuǎn|điều khoản
摊|tān|sạp, cửa hàng
提议|tíyì|đề nghị
提示|tíshì|đưa ra, nêu lên
提炼|tíliàn|lọc (dầu)
提拔|tíbá|đề bạt
推销|tuīxiāo|bán
推论|tuīlùn|suy luận
推翻|tuīfān|lật đổ
推理|tuīlǐ|suy lý
推测|tuīcè|suy đoán
探讨|tàntǎo|thảo luận
探索|tànsuǒ|khám phá
探测|tàncè|thăm dò
探望|tànwàng|đi thăm
掏|tāo|móc, đào
挺拔|tǐngbá|thẳng tắp
挑衅|tiǎoxìn|khiêu khích
挑拨|tiǎobō|chọc phá
挑剔|tiāotī|kén chọn
拖延|tuōyán|kéo dài
投降|tóuxiáng|đầu hàng
投诉|tóusù|kiện tụng
投票|tóupiào|đấu thầu
投机|tóujī|hiểu nhau
投掷|tóuzhì|ném, vứt, quăng
托运|tuōyùn|ủy thác vận chuyển
徒弟|túdì|đồ đệ
弹性|tánxìng|tính đàn hồi
妥当|tuǒdàng|thỏa đáng
妥善|tuǒshàn|ổn thỏa, tốt đẹp
妥协|tuǒxié|thỏa hiệp
太空|tàikōng|vũ trụ
天赋|tiānfù|năng khiếu
天生|tiānshēng|bẩm sinh
天然气|tiānránqì|khí đốt tự nhiên
天文|tiānwén|thiên văn
天才|tiāncái|thiên tài
天堂|tiāntáng|thiên đường
天伦之乐|tiānlúnzhīlè|hạnh phúc gia đình
塔|tǎ|tháp
塌|tā|sập
坦白|tǎnbái|thẳng thắn
土壤|tǔrǎng|đất
图案|túàn|hình vẽ
团结|tuánjié|đoàn kết
团圆|tuányuán|đoàn viên
团体|tuántǐ|đoàn thể
唾弃|tuòqì|nhổ vào mặt
吞吞吐吐|tūntūntǔtǔ|lắp ba lắp bắp
同胞|tóngbāo|đồng bào
同志|tóngzhì|đồng chí
叹气|tànqì|tiếng thở dài
台风|táifēng|bão
停顿|tíngdùn|ngừng, tạm ngừng
停滞|tíngzhì|đọng lại
停泊|tíngbó|cập bến, đỗ
倘若|tǎngruò|nếu
体面|tǐmiàn|thể diện
体谅|tǐliàng|lượng thứ, châm trước
体裁|tǐcái|thể loại
体系|tǐxì|hệ thống
体积|tǐjī|thể tích
亭子|tíngzi|đình trú mưa
顽强|wánqiáng|ngoan cường
顽固|wángù|ngoan cố, bướng bỉnh
问世|wènshì|ra mắt, ra đời, chào đời
违背|wéibèi|vi phạm
误解|wùjiě|hiểu lầm
误差|wùchā|lỗi
诬陷|wūxiàn|hãm hại
蔚蓝|wèilán|xanh da trời
舞蹈|wǔdǎo|vũ đạo
维生素|wéishēngsù|vitamin
维持|wéichí|duy trì
维护|wéihù|bảo vệ
窝|wō|tổ, ổ
畏惧|wèijù|sợ hãi, sợ sệt
瓦解|wǎjiě|tan rã
玩意儿|wányìr|đồ chơi
玩弄|wánnòng|chơi đùa
物资|wùzī|vật liệu
物美价廉|wùměijiàlián|hàng đẹp giá rẻ
物业|wùyè|sản nghiệp
温带|wēndài|ôn đới
温和|wēnhé|ôn hòa
污蔑|wūmiè|phỉ báng
歪曲|wāiqū|xuyên tạc
武装|wǔzhuāng|vũ trang
武器|wǔqì|vũ khí
武侠|wǔxiá|võ hiệp
未免|wèimiǎn|tránh khỏi
无非|wúfēi|chẳng qua, không ngoài
无辜|wúgū|vô tội
无赖|wúlài|tên vô lại, kẻ du côn
无能为力|wúnéngwéilì|bất lực
无耻|wúchǐ|vô liêm sỉ
无精打采|wújīngdǎcǎi|mặt mày ủ rũ
无穷无尽|wúqióngwújìn|vô cùng vô tận
无知|wúzhī|không biết, vô tri
无理取闹|wúlǐqǔnào|vô cớ gây sự
无比|wúbǐ|vô cùng
无忧无虑|wúyōuwúlǜ|vô lo vô nghĩ
无微不至|wúwēibùzhì|chu đáo tỉ mỉ
无动于衷|wúdòngyúzhōng|thờ ơ, không chút động lòng
无偿|wúcháng|không hoàn lại
文雅|wényǎ|nho nhã
文艺|wényì|văn nghệ
文献|wénxiàn|tài liệu lịch sử
文物|wénwù|văn vật
文凭|wénpíng|văn bằng
挽救|wǎnjiù|cứu vớt
挽回|wǎnhuí|cứu vãn
挖掘|wājué|khai quật
慰问|wèiwèn|thăm hỏi
惋惜|wǎnxī|xót thương, thương tiếc
微观|wēiguān|vi mô
微不足道|wēibùzúdào|không đáng để nhắc tới
往常|wǎngcháng|mọi khi
往事|wǎngshì|chuyện trước kia
完毕|wánbì|hoàn tất
完备|wánbèi|chuẩn bị đầy đủ
娃娃|wáwa|búp bê
威风|wēifēng|uy phong
威望|wēiwàng|danh vọng
威力|wēilì|uy lực
威信|wēixìn|uy tín
委托|wěituō|ủy thác
委员|wěiyuán|ủy viên
妄想|wàngxiǎng|mơ tưởng
外表|wàibiǎo|bề ngoài
外行|wàiháng|ngoài ngành
外界|wàijiè|bên ngoài
外向|wàixiàng|hướng ngoại
喂（动词）|wèi（dòngcí）|a lô
唯独|wéidú|độc nhất
哇|wā|oa oa, oe oe
危机|wēijī|khủng hoảng
卫星|wèixīng|vệ tinh
务必|wùbì|nhất thiết phải
侮辱|wǔrǔ|sỉ nhục
伪造|wěizào|giả mạo
乌黑|wūhēi|đen kịt
为难|wéinán|làm khó
为期|wéiqī|kỳ hạn
丸|wán|viên
万分|wànfēn|vô cùng
鲜明|xiānmíng|tươi sáng
馅儿|xiànr|nhân bánh
须知|xūzhī|những điều cần biết
霞|xiá|ráng mây
需求|xūqiú|nhu cầu
雪上加霜|xuěshàngjiāshuāng|thêm dầu vào lửa
雄厚|xiónghòu|hùng hậu
雄伟|xióngwěi|hùng vĩ
陷阱|xiànjǐng|cạm bẫy
陷害|xiànhài|hãm hại
陷入|xiànrù|lầm vào, rơi vào
闲话|xiánhuà|lời đồn thổi
镶嵌|xiāngqiàn|khảm
销毁|xiāohuǐ|tiêu hủy
酗酒|xùjiǔ|nghiện rượu
选拔|xuǎnbá|tuyển chọn
选手|xuǎnshǒu|tuyển thủ
选举|xuǎnjǔ|bầu cử
辛勤|xīnqín|siêng năng
贤惠|xiánhuì|hiền thục
谢绝|xièjué|khước từ, từ chối khéo
许可|xǔkě|cho phép
袭击|xíjī|tập kích
衔接|xiánjiē|gắn liền, nối tiếp
行政|xíngzhèng|hành chính
血压|xuèyā|huyết áp
虚荣|xūróng|hư vinh
虚假|xūjiǎ|giả dối
虚伪|xūwěi|giả tạo
薪水|xīnshuǐ|tiền lương
膝盖|xīgài|đầu gối
腥|xīng|tanh
胸膛|xiōngtáng|lồng ngực
胸怀|xiōnghuái|tấm lòng
肖像|xiàoxiàng|chân dung
羞耻|xiūchǐ|xấu hổ
绣|xiù|thêu
细菌|xìjūn|vi khuẩn
细致|xìzhì|tinh tế, tỉ mỉ
细胞|xìbāo|tế bào
线索|xiànsuǒ|manh mối
纤维|xiānwéi|sợi
系列|xìliè|hàng loạt
相辅相成|xiāngfǔxiāngchéng|bổ trợ cho nhau
相等|xiāngděng|ngang bằng
相应|xiāngyìng|tương ứng
相差|xiāngchà|khác nhau
相声|xiàngshēng|một loại hình kịch truyền thống
畜牧|xùmù|du mục
现状|xiànzhuàng|hiện trạng
现成|xiànchéng|có sẵn, vốn có
现场|xiànchǎng|hiện trường
狭隘|xiáài|hẹp, hẹp hòi
狭窄|xiázhǎi|nhỏ hẹp
牺牲|xīshēng|hi sinh
熏陶|xūntáo|hun đúc
熄灭|xīmiè|dập tắt
炫耀|xuànyào|khoe khoang
潇洒|xiāosǎ|thoải mái
溪|xī|suối
消除|xiāochú|loại bỏ, loại trừ
消防|xiāofáng|chữa cháy
消耗|xiāohào|tiêu hao
消灭|xiāomiè|tiêu diệt
消毒|xiāodú|khử độc
泄露|xièlòu|rò rỉ
泄气|xièqì|nhụt chí, nản lòng
汹涌|xiōngyǒng|cuồn cuộn
欣欣向荣|xīnxīnxiàngróng|phát triển thịnh vượng
欣慰|xīnwèi|mừng vui thanh thản
显著|xiǎnzhù|nổi bật, rõ rệt
昔日|xīrì|trước kia
旋转|xuánzhuàn|quay tròn
旋律|xuánlǜ|giai điệu
新颖|xīnyǐng|mới lạ, mới mẻ
新陈代谢|xīnchéndàixiè|đổi cũ thay mới
新郎|xīnláng|chú rể
新娘|xīnniáng|cô dâu
效益|xiàoyì|lợi ích
携带|xiédài|xách theo
掀起|xiānqǐ|vén, mở
想方设法|xiǎngfāngshèfǎ|trăm phương ngàn kế
悬殊|xuánshū|cách biệt lớn
悬挂|xuánguà|treo
悬念|xuánniàn|thương nhớ
悬崖峭壁|xuányáqiàobì|vách núi cheo leo
性能|xìngnéng|tính năng
性感|xìnggǎn|gợi cảm
性命|xìngmìng|tính mạng
心血|xīnxuè|tâm huyết
心眼儿|xīnyǎnr|trong lòng
心疼|xīnténg|đau lòng, xót
心甘情愿|xīngānqíngyuàn|cam tâm tình nguyện
心灵|xīnlíng|tâm hồn
心态|xīntài|tâm trạng
心得|xīndé|tâm đắc
循环|xúnhuán|tuần hoàn
循序渐进|xúnxùjiànjìn|lần lượt từng bước
形态|xíngtài|hình thái
弦|xián|dây cung, dây đàn
序言|xùyán|lời nói đầu
巷|xiàng|ngõ
巡逻|xúnluó|tuần tra
峡谷|xiágǔ|hẻm núi, khe sâu
屑|xiè|vụn, nhỏ
小心翼翼|xiǎoxīnyìyì|cẩn thận từng li
寻觅|xúnmì|tìm kiếm
宪法|xiànfǎ|hiến pháp
宣誓|xuānshì|tuyên thệ
宣扬|xuānyáng|tuyên truyền
学说|xuéshuō|học thuyết
学位|xuéwèi|học vị
嫌疑|xiányí|nghi ngờ
嫌|xián|chê bai
媳妇|xífù|con dâu
夕阳|xīyáng|mặt trời lặn
嗅觉|xiùjué|khứu giác
喧哗|xuānhuá|to mồm
喜闻乐见|xǐwénlèjiàn|vui tai vui mắt
喜悦|xǐyuè|niềm vui mừng, vui mừng
响应|xiǎngyìng|trả lời, đáp ứng
响亮|xiǎngliàng|vang dội
向来|xiànglái|từ trước đến nay
向往|xiàngwǎng|hướng về
向导|xiàngdǎo|hướng dẫn
协调|xiétiáo|phối hợp
协议|xiéyì|thỏa thuận
协商|xiéshāng|hiệp thương
协助|xiézhù|trợ giúp, giúp đỡ
协会|xiéhuì|hiệp hội
削弱|xuēruò|suy yếu, làm suy yếu
削|xiāo|cắt
刑事|xíngshì|hình sự
凶手|xiōngshǒu|hung thủ
凶恶|xiōngè|hung ác
兴高采烈|xìnggāocǎiliè|vui vẻ hào hứng
兴隆|xīnglóng|hưng thịnh, thịnh vượng
兴致勃勃|xìngzhìbóbó|cực kỳ cao hứng
兴旺|xīngwàng|hưng vượng
先进|xiānjìn|tiên tiến
先前|xiānqián|trước kia
修建|xiūjiàn|tu bổ
修复|xiūfù|sửa
修养|xiūyǎng|tu dưỡng
信赖|xìnlài|tin cậy
信誉|xìnyù|danh dự và lòng tin
信念|xìnniàn|tâm niệm
信仰|xìnyǎng|tín ngưỡng
乡镇|xiāngzhèn|làng mạc
习俗|xísú|tập tục
下属|xiàshǔ|thuộc hạ, cấp dưới
鸦雀无声|yāquèwúshēng|lặng im không nói
验证|yànzhèng|nghiệm chứng
验收|yànshōu|nghiệm thu
饮食|yǐnshí|ẩm thực
预言|yùyán|lời tiên tri
预算|yùsuàn|dự toán
预期|yùqī|trông mong, liệu trước
预料|yùliào|dự liệu
预先|yùxiān|trước, sẵn
预兆|yùzhào|điềm báo
音响|yīnxiǎng|loa
隐蔽|yǐnbì|giấu
隐约|yǐnyuē|lờ mờ, láng máng
隐私|yǐnsī|chuyện riêng tư
隐瞒|yǐnmán|che giấu
隐患|yǐnhuàn|hiểm họa
阴谋|yīnmóu|âm mưu
野蛮|yěmán|man rợ
野心|yěxīn|dã tâm
酝酿|yùnniàng|lên men
遥远|yáoyuǎn|xa xôi
遥控|yáokòng|điều khiển từ xa
遗留|yíliú|để lại, truyền lại
遗失|yíshī|mất
遗传|yíchuán|di truyền
遗产|yíchǎn|di sản
运行|yùnxíng|vận hành
运算|yùnsuàn|tính toán
迎面|yíngmiàn|trước mặt, đối diện
踊跃|yǒngyuè|nhảy nhót, nhảy lên
谣言|yáoyán|lời đồn
诱惑|yòuhuò|mê hoặc
言论|yánlùn|ngôn luận
要素|yàosù|yếu tố
要点|yàodiǎn|điểm chính
要命|yàomìng|mất mạng
衣裳|yīshang|quần áo
蕴藏|yùncáng|chất chứa, chứa đựng
英明|yīngmíng|anh minh
英勇|yīngyǒng|anh dũng
舆论|yúlùn|dư luận
耀眼|yàoyǎn|chói mắt
翼|yì|cánh
羽绒服|yǔróngfú|áo lông vũ
缘故|yuángù|nguyên cớ
约束|yuēshù|bó buộc
眼色|yǎnsè|sắc mặt
眼神|yǎnshén|ánh mắt
眼光|yǎnguāng|cách nhìn
盈利|yínglì|tiền lãi
疑惑|yíhuò|nghi hoặc
用户|yònghù|người sử dụng
玉|yù|ngọc
犹如|yóurú|như
烟花爆竹|yānhuābàozhú|pháo nổ đì đùng
炎热|yánrè|nóng bức
演绎|yǎnyì|diễn dịch
演奏|yǎnzòu|diễn tấu
演变|yǎnbiàn|diễn biến
演习|yǎnxí|diễn tập
源泉|yuánquán|nguồn, cội nguồn
渔民|yúmín|ngư dân
淹没|yānmò|chìm ngậ
液体|yètǐ|chất lỏng
涌现|yǒngxiàn|trào dâng, tuôn ra
沿海|yánhǎi|duyên hải
油腻|yóunì|ngấy, béo ngậy
油漆|yóuqī|sơn dầu
永恒|yǒnghéng|vĩnh hằng
氧气|yǎngqì|ô xy
毅然|yìrán|kiên quyết
毅力|yìlì|nghị lực
欲望|yùwàng|dục vọng
样品|yàngpǐn|sản phẩm mẫu
有条不紊|yǒutiáobùwěn|có thứ tự chặt chẽ
摇滚|yáogǔn|nhạc rock
摇摆|yáobǎi|lắc lư
掩饰|yǎnshì|che giấu
掩盖|yǎngài|che lấp, che
掩护|yǎnhù|bảo vệ
拥有|yōngyǒu|có
拥护|yōnghù|bào vệ
愚蠢|yúchǔn|ngu xuẩn
愚昧|yúmèi|ngu muội
意识|yìshí|ý thức
意料|yìliào|dự liệu
意志|yìzhì|ý chí
意图|yìtú|ý đồ
意味着|yìwèizhe|có nghĩa là
意向|yìxiàng|ý đồ, mục đích
愈|yù|càng, thắng, khỏi bệnh
忧郁|yōuyù|buồn thương, sầu muộn
引用|yǐnyòng|trích dẫn
引擎|yǐnqíng|động cơ
引导|yǐndǎo|hướng dẫn
异常|yìcháng|khác thường
延续|yánxù|liên tục
延期|yánqī|kéo dài thời hạn
延伸|yánshēn|vươn ra
庸俗|yōngsú|dung tục
应酬|yìngchóu|tiệc xã giao
应邀|yìngyāo|nhận lời mời
幼稚|yòuzhì|ngây thơ, khờ dại
岳母|yuèmǔ|mẹ vợ
岩石|yánshí|nham thạch
寓言|yùyán|truyện ngụ ngôn
宇宙|yǔzhòu|vũ trụ
孕育|yùnyù|mang thai
婴儿|yīngér|em bé
圆满|yuánmǎn|viên mãn, tốt đẹp
园林|yuánlín|lâm viên, vườn
原理|yuánlǐ|nguyên lí
原始|yuánshǐ|nguyên thủy
原告|yuángào|nguyên cáo
原先|yuánxiān|ban đầu
厌恶|yànwù|ghét
压迫|yāpò|áp bức
压缩|yāsuō|nén
压榨|yāzhà|đàn áp (công nhân, người nghèo), ép
压抑|yāyì|sự đè nén, đè nén
压岁钱|yāsuìqián|tiền mừng tuổi
压制|yāzhì|trấn áp(cuộc biểu tình)
勇于|yǒngyú|dám làm….
冤枉|yuānwǎng|oan uổng
元首|yuánshǒu|nguyên thủ
元素|yuánsù|nguyên tố
元宵节|yuánxiāojié|tết Nguyên tiêu
依靠|yīkào|chỗ dựa
依赖|yīlài|dựa dẫm
依旧|yījiù|như xưa
依据|yījù|căn cứ
依托|yītuō|dựa vào, nhờ
优越|yōuyuè|ưu việt
优胜劣汰|yōushèngliètài|mạnh được yếu thua
优异|yōuyì|xuất sắc
优先|yōuxiān|ưu tiên
仪式|yíshì|nghi thức
仪器|yíqì|máy đo
以致|yǐzhì|dẫn đến
以至|yǐzhì|thế nên
以往|yǐwǎng|trước kia
以免|yǐmiǎn|để tránh
以便|yǐbiàn|để tiện
亦|yì|cũng
亚军|yàjūn|á quân
乐谱|yuèpǔ|bản nhạc
严禁|yánjìn|nghiêm cấm
严峻|yánjùn|cam go, khắt khe
严寒|yánhán|lạnh
严密|yánmì|nghiêm ngặt
严厉|yánlì|nghiêm khắc
与日俱增|yǔrìjùzēng|tăng lên từng ngày
一贯|yīguàn|nhaất quán
一目了然|yīmùliǎorán|rõ ràng, dễ nhìn
一流|yīliú|hạng nhất
一度|yīdù|một lần
一帆风顺|yīfānfēngshùn|thuận buồm xuôi gió
一如既往|yīrújìwǎng|vẫn như xưa
一向|yīxiàng|luôn luôn
一举两得|yījǔliǎngdé|nhất cử lưỡng tiện
一丝不苟|yīsībùgǒu|không hề cẩu thả
熨|yùn|bàn là
驻扎|zhùzhā|đóng quân
震撼|zhènhàn|bị sốc, chấn động
震惊|zhènjīng|chấn động (dư luận, thế giới)
障碍|zhàngài|trở ngại
阻碍|zǔài|cản trở
阻挠|zǔnáo|cản trở, ngăn chặn
阻拦|zǔlán|ngăn cản
阵容|zhènróng|đội hình
阵地|zhèndì|trận địa
镇静|zhènjìng|bình tĩnh
镇定|zhèndìng|chấn tĩnh
铸造|zhùzào|đúc
钻研|zuānyán|nghiên cứu chuyên sâu
钻石|zuànshí|kim cương
重心|zhòngxīn|trọng tâm
郑重|zhèngzhòng|trịnh trọng
遵循|zūnxún|tuân theo
遮挡|zhēdǎng|đỡ, che
遭遇|zāoyù|gặp phải
遭殃|zāoyāng|gặp tai ương
遭受|zāoshòu|chịu
造型|zàoxíng|tạo hình
逐年|zhúnián|từng năm
追究|zhuījiū|truy cứu
追悼|zhuīdào|truy điệu
转达|zhuǎndá|truyền đạt
转让|zhuǎnràng|chuyển nhượng
转移|zhuǎnyí|dịch chuyển
转折|zhuǎnzhé|chuyển ngoặt, chuyển hướng
